park_name,coordinates,park
gorky_park,"55.728751459844766, 37.601162054033544",1
patriarshiye_purdy,"55.76344498055623, 37.59269471237306",2
reserve_tsar,"55.61962260144488, 37.683368513078754",3
vorobyovy_gory,"55.71624545142379, 37.55381222547549",4
MSU_botanical_garden_ogorod,"55.708471214009045, 37.527828949151356",5
Izmaylovsky_park,"55.77394402528614, 37.75338165346189",6
Sokolniki_park,"55.795951793005955, 37.67682067875268",7
main_botanical_garden,"55.84512839500536, 37.59027812289106",8
cherkizovsky_park,"55.80345446674183, 37.731542958314954",9
park_kuskovo,"55.73577973849848, 37.79876189010853",10
park_kuzminki,"55.68933920827283, 37.79403177579236",11
park_pokrovskoe,"55.825368064629195, 37.47214144346489",12
golf_club,"55.760522474606184, 37.45800172652708",13
bittsevskiy_park,"55.6282867, 37.5613721",14
